,Headline,Timestamp
143,"Taylor Swift concert film opened Thursday, surprising many fans — and disappointing others",2023-10-13 08:15:00
144,Bond Yields Haven’t Settled. Why It’s the Biggest Question for Stocks.,2023-10-13 06:38:00
164,AMC’s CEO Says He Was Targeted in a Blackmail Plot,2023-10-12 18:26:00
165,Communications Services Down on Strike Fears -- Communications Services Roundup,2023-10-12 17:48:00
166,"AMC stock extends winning streak to 5 days, boosted by Taylor Swift concert movie",2023-10-12 17:22:00
167,AMC CEO Adam Aron says he was targeted in a blackmail attempt,2023-10-12 10:48:00
168,"Investors are asking too much from the stock market, says this strategist.",2023-10-12 08:42:00
188,‘Barbie’ is in the rearview mirror — a potential red flag for U.S. consumer spending,2023-10-11 10:20:00
189,"Steer clear of these stocks where the economy is in trouble, says Steve Eisman of ‘Big Short’ fame",2023-10-11 09:36:00
190,AMC and 12 Other Stocks That Wall Street Absolutely Doesn’t Recommend,2023-10-11 01:00:00
204,"Momentum traders set to buy the S&P 500 ‘in every scenario,’ says Goldman Sachs",2023-10-10 10:03:00
212,Meme stocks just won’t go away. Here is my anti-meme portfolio.,2023-10-09 11:23:00
213,From $150 oil to no impact at all: What the surprise attack on Israel means to markets,2023-10-09 08:10:00
228,"Taylor Swift’s NFL interest has created $122 million of brand value, expert says",2023-10-07 14:36:00
236,AMC stock surges as Taylor Swift concert crosses $100 million in advance ticket sales,2023-10-06 13:24:00
237,Spiking long yields are a danger for markets: here’s what may happen next and 5 things investors should do,2023-10-06 08:37:00
248,A ‘1%-er depression’ and massive sector rotation: How a hedge-fund manager sees bond crisis playing out,2023-10-05 09:11:00
256,"As storm clouds gather over bond market, watch this level on the S&P 500",2023-10-04 09:49:00
264,‘Taylor Swift: The Eras Tour’ sets pre-sales records for Cinemark,2023-10-03 12:23:00
265,The ‘wild bunch’ have taken control of the bond market. Here’s where they could wreak havoc next.,2023-10-03 10:05:00
276,Dow declines for eighth time in 10 sessions as bond yields rise even further,2023-10-02 16:30:00
277,Amazon Is Bringing Ads to Prime Video. It’s a Big Win for the Stock.,2023-10-02 11:57:00
278,AMC clinches deal to show Beyoncé’s ‘Renaissance World Tour’ concert film,2023-10-02 11:38:00
279,Marcus Theatres’ stock rises as Beyoncé concert film set for release,2023-10-02 10:11:00
280,AMC Stock Rises on Beyoncé’s New Concert Movie,2023-10-02 09:03:00
281,"Magnificent Seven tech stocks haven’t been this cheap in six years, Goldman Sachs strategists say",2023-10-02 08:11:00
282,"SmileDirectClub shares plunge after bankruptcy filing, with Syndax and AMC shares climbing and other active stocks",2023-10-02 05:41:00
308,Brace yourself: Taylor Swift attends another game as Travis Kelce’s Chiefs take on Jets,2023-10-01 22:57:00
309,Makers of Beyoncé concert film reportedly in talks with AMC for theatrical run,2023-10-01 20:08:00
310,What’s new on Max in October 2023 — and what’s leaving,2023-10-01 15:32:00
328,"Citi’s government shutdown playbook: which stocks to avoid, how volatility may react, and the plan for gold",2023-09-29 08:47:00
336,"Fear on Wall Street? Shake it off, advise these strategists.",2023-09-28 09:44:00
337,Ryan Cohen becomes GameStop CEO and social media reacts: ‘Changing the paradigm on Wall Street’,2023-09-28 09:29:00
338,GameStop’s stock jumps after billionaire investor Ryan Cohen named CEO,2023-09-28 09:04:00
352,"The stock market can’t catch a break. Good news is bad news, and now bad news is bad news, too.",2023-09-27 07:08:00
360,"Citi cuts AMC price target to $4.75 from $15.50, reiterates sell rating",2023-09-26 14:07:00
361,Gundlach says investors can sidestep carnage in stocks and earn 8% returns in bonds. Here’s how.,2023-09-26 09:40:00
372,"Stocks post their first gains in five sessions, shaking off rising yields",2023-09-25 16:35:00
373,AMC Entertainment Shares Rise 11% On Writers Strike Deal,2023-09-25 13:48:00
374,Nike’s no longer a buy after broker finds 9 in 10 with student debt worried about expenses,2023-09-25 09:35:00
375,Hollywood writers’ strike deal lifts movie theater and streaming stocks,2023-09-25 09:14:00
400,Bill Ackman says go short the long bond. Here’s why.,2023-09-22 07:30:00
408,"The economy is about to slow down. That’s the time for retail stocks, says Goldman Sachs.",2023-09-21 09:37:00
409,Why AMC is eyeing ‘Ape’-branded beer and wine after its big popcorn push,2023-09-21 08:31:00
420,"Stick with Berkshire Hathaway, says this longtime investor, who’s wary of Nvidia and Tesla",2023-09-20 09:40:00
421,AMC hints at launching ‘Great Ape Ale’ — a branded craft beer,2023-09-20 09:00:00
432,"‘We’re not in there for the next 20%, we’re in there for the next 300%.’ Two veteran managers on a neglected asset.",2023-09-19 09:39:00
433,Private Markets Are Going Mass Market. Is That a Good Thing?,2023-09-18 02:52:00
444,"AMC may launch branded wine, named in honor of ‘Ape’ retail investors",2023-09-18 09:31:00
445,"‘Dumb Money’ movie thrusts GameStop saga into spotlight, but don’t expect a meme stock spike",2023-09-18 08:44:00
464,"Here’s everything we know about zero-day options, the risky stock-market ‘lottery tickets’ captivating Wall Street and Reddit",2023-09-15 07:18:00
465,There are 5.6 trillion reasons that stocks can enjoy a year-end rally,2023-09-15 06:40:00
476,Communications Services Up on Rotation From Industrials -- Communications Services Roundup,2023-09-14 17:41:00
477,"These Stocks Are Moved the Most Today: Arm, Norwegian, Carnival, HP Inc., Semtech, Etsy, AT&T, and More",2023-09-14 16:34:00
478,Dow rises over 300 points to book best day in 5 weeks after strong economic data; Arm climbs 25% in Nasdaq debut,2023-09-14 16:25:00
479,"Arm stock soars on debut, Nvidia rises, AMC and HP fall, and more movers",2023-09-14 13:55:00
480,"AMC Stock Sale Creates Bigger Safety Net, Says Analyst",2023-09-14 11:16:00
481,"AMC equity offering is a ‘safety net’ and a chance to reduce debt balances, analyst says",2023-09-14 10:53:00
482,"AMC’s stock climbs, boosted by $325.5 million equity offering",2023-09-14 08:37:00
483,"‘Emerging markets have a China problem.’ This strategist favors India, which just hit a record.",2023-09-14 08:36:00
484,AMC Entertainment Shares Rise 9% After Completing Stock Offering,2023-09-14 07:09:00
516,"AMC stock continues rally, extends winning streak to three days",2023-09-13 16:30:00
517,"Stay upbeat on U.S. stocks, says SocGen, which just boosted its S&P 500 target",2023-09-13 09:38:00
518,Cinemark launces Private Swiftie Parties to watch Taylor Swift’s New Eras concert film,2023-09-13 09:01:00
532,"Don’t bet against the economy yet, says Bill Ackman",2023-09-12 09:49:00
540,"GameStop and AMC fundamental financials ‘remain concerning,’ analyst says",2023-09-11 12:46:00
541,"Morgan Stanley says it’s a lonely bull, recommending government bonds",2023-09-11 09:24:00
542,AMC’s stock rises premarket after Friday’s record-low close,2023-09-11 07:26:00
564,"What seven decades of yield-curve history tells us about the business cycle and the stock market, strategist says",2023-09-08 08:40:00
